,GeoUID,Type,Region Name,Area (sq km),Population,Dwellings,Households,CSD_UID,CD_UID,CT_UID,CMA_UID,v_CA21_4237: Total - Private households by tenure,v_CA21_4238: Owner,v_CA21_4239: Renter,,"v_CA21_4313: Total - Tenant households in non-farm, non-reserve private dwellings",v_CA21_4315: % of tenant households spending 30% or more of its income on shelter costs (55),,v_CA21_4317: Median monthly shelter costs for rented dwellings ($) (59),,v_CA21_4318: Average monthly shelter costs for rented dwellings ($) (59)
116,35300728,DA,35300728,0.2039,1600,931,755,3530016,3530,5410107.02,35541,700,10,685,,685,39,,1340,,1250
117,35300732,DA,35300732,0.2267,709,285,265,3530016,3530,5410100,35541,265,185,85,,80,31.3,,1450,,1500
118,35300737,DA,35300737,0.3171,1198,383,382,3530016,3530,5410108.04,35541,375,340,35,,35,0,,2420,,2200
119,35300738,DA,35300738,0.2926,958,308,303,3530016,3530,5410108.04,35541,315,255,55,,60,25,,2060,,2100
120,35300739,DA,35300739,0.0675,391,121,121,3530016,3530,5410108.04,35541,125,105,20,,0,NA,,NA,,NA
121,35300740,DA,35300740,0.3016,965,298,298,3530016,3530,5410108.04,35541,285,260,25,,25,0,,NA,,2000
122,35300749,DA,35300749,2.9045,5,1,1,3530016,3530,5410106.03,35541,NA,NA,NA,,NA,NA,,NA,,NA
123,35300821,DA,35300821,0.3893,1240,405,397,3530016,3530,5410109.07,35541,405,335,70,,70,0,,1960,,1560
124,35300822,DA,35300822,0.3855,1850,560,547,3530016,3530,5410109.07,35541,560,495,70,,70,35.7,,2280,,2200
125,35300823,DA,35300823,0.1889,692,210,210,3530016,3530,5410109.07,35541,205,150,55,,55,45.5,,2060,,2000
126,35300824,DA,35300824,0.4419,826,224,223,3530016,3530,5410109.1,35541,225,215,0,,0,NA,,NA,,NA
127,35300825,DA,35300825,0.1661,277,85,85,3530016,3530,5410109.1,35541,85,80,10,,0,NA,,NA,,NA
128,35300826,DA,35300826,0.401,904,320,315,3530016,3530,5410109.1,35541,330,245,80,,80,43.8,,2100,,1900
129,35300827,DA,35300827,0.0722,369,117,116,3530016,3530,5410109.1,35541,115,100,10,,0,NA,,NA,,NA
130,35300828,DA,35300828,0.0969,486,152,152,3530016,3530,5410109.1,35541,150,130,20,,25,0,,NA,,2000
131,35300830,DA,35300830,2.3078,972,427,361,3530016,3530,5410109.09,35541,345,325,25,,25,0,,NA,,900
132,35300833,DA,35300833,0.1883,637,221,220,3530016,3530,5410109.09,35541,215,215,0,,0,NA,,NA,,NA
133,35300872,DA,35300872,0.1294,554,176,176,3530016,3530,5410108.02,35541,185,180,0,,0,NA,,NA,,NA
134,35300873,DA,35300873,0.3442,1102,372,370,3530016,3530,5410108.02,35541,375,340,35,,35,0,,2100,,1900
135,35300874,DA,35300874,0.6063,643,273,267,3530016,3530,5410108.02,35541,270,220,50,,55,0,,1880,,1850
136,35300875,DA,35300875,0.7378,1402,474,471,3530016,3530,5410108.02,35541,460,405,60,,65,38.5,,2280,,2200
137,35300876,DA,35300876,0.1294,550,202,202,3530016,3530,5410108.02,35541,200,170,30,,35,42.9,,1840,,1900
138,35300927,DA,35300927,0.3551,1394,486,479,3530016,3530,5410108.04,35541,485,440,40,,40,0,,2080,,2000
139,35300928,DA,35300928,0.0619,327,95,95,3530016,3530,5410108.04,35541,95,80,0,,0,NA,,NA,,NA
140,35300932,DA,35300932,3.789,2742,808,783,3530016,3530,5410109.07,35541,775,650,130,,130,45.8,,2360,,2320
141,35300944,DA,35300944,1.8764,1639,483,476,3530016,3530,5410109.09,35541,475,440,35,,35,0,,1150,,1300
142,35300945,DA,35300945,0.4088,678,191,191,3530016,3530,5410109.1,35541,185,175,10,,0,NA,,NA,,NA
143,35300970,DA,35300970,0.3058,799,246,243,3530016,3530,5410109.02,35541,240,230,10,,0,NA,,NA,,NA
144,35300971,DA,35300971,0.1827,542,178,176,3530016,3530,5410109.02,35541,175,165,10,,0,NA,,NA,,NA
145,35300972,DA,35300972,0.1142,370,121,121,3530016,3530,5410109.02,35541,130,120,10,,0,NA,,NA,,NA
146,35300973,DA,35300973,0.2143,702,250,247,3530016,3530,5410109.02,35541,235,230,0,,0,NA,,NA,,NA
147,35300974,DA,35300974,0.1019,336,122,122,3530016,3530,5410109.02,35541,125,120,10,,0,NA,,NA,,NA
148,35300975,DA,35300975,0.1531,626,213,211,3530016,3530,5410109.02,35541,215,200,20,,15,0,,NA,,1600
149,35300976,DA,35300976,0.1826,732,267,266,3530016,3530,5410109.02,35541,260,230,30,,30,0,,1880,,1700
150,35300977,DA,35300977,0.1566,450,175,167,3530016,3530,5410109.02,35541,160,155,0,,0,NA,,NA,,NA
151,35301017,DA,35301017,1.4298,1303,420,415,3530016,3530,5410109.09,35541,405,365,40,,40,0,,1820,,1800
152,35301041,DA,35301041,3.6462,1508,553,532,3530016,3530,5410108.03,35541,530,495,35,,30,60,,NA,,2000
153,35301042,DA,35301042,1.5472,1615,487,484,3530016,3530,5410108.03,35541,515,480,35,,35,0,,NA,,1700
154,35301043,DA,35301043,3.7039,3885,1246,1221,3530016,3530,5410109.08,35541,1235,900,330,,335,43.5,,2100,,1990
155,35301044,DA,35301044,1.139,3017,851,832,3530016,3530,5410109.08,35541,835,720,110,,115,35,,2400,,2400
